Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.407510934866699,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7199476579416204,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7231670183562859,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7202659262450332,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.7084935692401937,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.7295015529835778,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.9168195322720131,0.0,0.0,0.0,78.37492057043917
1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.9384485393599873,0.0,0.0,0.0,143.0290250815771
1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.9301733552844857,0.0,0.0,0.0,308.9720463315739
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9293434964324416,0.0,0.0,0.0,499.1676143207148
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9381062854804979,0.0,0.0,0.0,652.1860607842245
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.9145966908307752,0.0,0.0,0.0,675.8575851954537
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.92720581118435,0.0,0.0,0.0,700.9195698717426
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.927077179437001,0.0,0.0,0.0,700.785248313022
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.9158292860161652,0.0,0.0,0.0,649.2988388850692
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.9343194369401744,0.0,0.0,0.0,596.2013447537073
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.9123869687856148,0.0,0.0,0.0,442.6683019056026
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9239887484922075,0.0,0.0,0.0,203.20736506768847
1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.9086655685159184,0.0,0.0,0.0,101.86432018201702
1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.9196247256294101,0.0,0.0,0.0,75.20058823832102
1.0,20.0,0.0,0.0,0.0,0.0,0.0,2.931261647842778,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.4128408661714835,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.428462250063663,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,1.9361409562770135,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.6239039972566702,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9318869493774607,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9294348689349098,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9398066084322926,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9279695004260894,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.928691159056336,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.1325178255731088,0.0,0.0,0.0,94.88717742525219
1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.138331479300084,0.0,0.0,0.0,178.6751758318204
1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.132756898299624,0.0,0.0,0.0,329.9822926174963
1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.128165890781966,0.0,0.0,0.0,528.7030733499731
1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.1223861949921738,0.0,0.0,0.0,681.7904957550418
1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.1341586615392991,0.0,0.0,0.0,697.4495842630452
1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.1243008760405817,0.0,0.0,0.0,728.3965832814757
1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.1311942274053084,0.0,0.0,0.0,729.5263019682908
1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.1166712630797337,0.0,0.0,0.0,673.548098140801
1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.146181049621383,0.0,0.0,0.0,624.1783992987333
1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.1353411814098868,0.0,0.0,0.0,470.9472561242179
1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.128376535826573,0.0,0.0,0.0,228.43088058481783
1.0,18.0,0.0,0.0,0.0,0.0,0.0,2.1345290196945332,0.0,0.0,0.0,130.14866605604604
1.0,19.0,0.0,0.0,0.0,0.0,0.0,2.143740016256488,0.0,0.0,0.0,84.77187887690324
1.0,20.0,0.0,0.0,0.0,0.0,0.0,3.135124437993769,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.649099176855939,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.641247556915801,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,2.138386687561131,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.532596848715442,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8361609971815259,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8143026691470453,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.823746624940716,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8460099684565882,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.862185771747372,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0568338430013828,0.0,0.0,0.0,62.65722068707187
1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0350784499610945,0.0,0.0,0.0,159.8492604271768
1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0497477768522767,0.0,0.0,0.0,315.1427778664069
1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.032392980473197,0.0,0.0,0.0,501.7956113677581
1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0331746789627272,0.0,0.0,0.0,663.1252616664783
1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0451811900972723,0.0,0.0,0.0,679.278920453557
1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0455914962858772,0.0,0.0,0.0,704.0076263595325
1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0438970870638926,0.0,0.0,0.0,709.1775044536716
1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.039931937773343,0.0,0.0,0.0,660.8685477953711
1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0506271298548335,0.0,0.0,0.0,603.9179799230409
1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0216215194077034,0.0,0.0,0.0,455.4991921871108
1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0469809694101706,0.0,0.0,0.0,212.30023631835255
1.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0183492761881068,0.0,0.0,0.0,104.97988124157101
1.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0401210731019424,0.0,0.0,0.0,73.16873355062631
1.0,20.0,0.0,0.0,0.0,0.0,0.0,3.046567596573419,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.537377385793952,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.540579950397742,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0498665051535263,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.4961395564590148,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8087701514694959,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7904660020670725,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7916649969516698,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.7942887646982184,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.7944884897622726,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.9885629701415287,0.0,0.0,0.0,84.54802231522665
1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0032020391802514,0.0,0.0,0.0,178.198840533321
1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0030252976693896,0.0,0.0,0.0,340.433535394071
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9741216735996736,0.0,0.0,0.0,527.5264380974214
1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0003030880274908,0.0,0.0,0.0,669.9883407029058
1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0066233712041974,0.0,0.0,0.0,698.5516624016565
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.9806537460023151,0.0,0.0,0.0,733.9129126529274
1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0018271026058296,0.0,0.0,0.0,727.5336020647229
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.995894676647851,0.0,0.0,0.0,672.229715065677
1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0097878781982597,0.0,0.0,0.0,620.0873611432307
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.9950999952596695,0.0,0.0,0.0,474.35051669345086
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9955274201005342,0.0,0.0,0.0,208.389859179476
1.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0132130745301025,0.0,0.0,0.0,125.09792604252819
1.0,19.0,0.0,0.0,0.0,0.0,0.0,2.007407169478288,0.0,0.0,0.0,98.72589982886679
1.0,20.0,0.0,0.0,0.0,0.0,0.0,2.9748501063443107,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.5003929921054,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.4908612802197023,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0060878974133276,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.5697720801870692,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8595604998791805,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8512065149659844,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.8539264682011394,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8646336146567054,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.8713811742989035,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0615775365169435,0.0,0.0,0.0,88.82953791838213
1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.063101867695015,0.0,0.0,0.0,160.4929808488111
1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.081585087091032,0.0,0.0,0.0,322.5114756302917
1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0678366658431175,0.0,0.0,0.0,511.9527401606212
1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0524438241411993,0.0,0.0,0.0,665.9343898157879
1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.079421285630126,0.0,0.0,0.0,689.3539942229615
1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0533089965482747,0.0,0.0,0.0,712.0266943862779
1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0750348979772546,0.0,0.0,0.0,717.6016261454955
1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.049870054747664,0.0,0.0,0.0,659.212029114181
1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0452251261027876,0.0,0.0,0.0,613.144722671512
1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.068064493249212,0.0,0.0,0.0,465.6291470925636
1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0698665415454498,0.0,0.0,0.0,213.53926568166253
1.0,18.0,0.0,0.0,0.0,0.0,0.0,2.052856481201185,0.0,0.0,0.0,117.8585518269415
1.0,19.0,0.0,0.0,0.0,0.0,0.0,2.058754622197554,0.0,0.0,0.0,81.77973679597983
1.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0516392041177443,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.5748355375777217,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.5713394697942693,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,2.069210235179296,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.5976682336371089,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9151326107835449,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8935105741748891,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.8962303257197841,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9032659972716883,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.8962542306850018,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0988100290279852,0.0,0.0,0.0,88.49443709828007
1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.081801419940688,0.0,0.0,0.0,163.70696179118852
1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0948757085905956,0.0,0.0,0.0,319.9979191986366
1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.090450219644262,0.0,0.0,0.0,515.2769285453445
1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.1038701278328833,0.0,0.0,0.0,660.4557546142559
1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.1053666127761654,0.0,0.0,0.0,695.9601704744555
1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.086910384398568,0.0,0.0,0.0,716.4546739032852
1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0948256360477309,0.0,0.0,0.0,707.0059119071269
1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.1010775254340006,0.0,0.0,0.0,663.5230240689506
1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.098943030296295,0.0,0.0,0.0,612.8572085068035
1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0770907661391826,0.0,0.0,0.0,464.5457712730962
1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0956220207183307,0.0,0.0,0.0,204.914280792004
1.0,18.0,0.0,0.0,0.0,0.0,0.0,2.1004469561425445,0.0,0.0,0.0,113.26083989082477
1.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0911061221728455,0.0,0.0,0.0,86.00735423494042
1.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0873667641162688,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.6153464145044216,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.602246136791051,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0914854169061994,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.492922572092303,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8088142197913158,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.796059213388957,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7971930019666491,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8067398434461139,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.8027017825011696,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.9893402395737518,0.0,0.0,0.0,79.09980455795836
1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0128060345847802,0.0,0.0,0.0,163.23440696781557
1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.9877555823415658,0.0,0.0,0.0,319.9433946306937
1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0096248062193747,0.0,0.0,0.0,516.2138169222656
1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0013429553542457,0.0,0.0,0.0,662.4356073459219
1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0050346893651732,0.0,0.0,0.0,690.0840574847341
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.9977149540289079,0.0,0.0,0.0,724.6691984180254
1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0045592872683144,0.0,0.0,0.0,711.4323590357276
1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0074706780694658,0.0,0.0,0.0,660.4104164962529
1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0072048606306834,0.0,0.0,0.0,618.25585028686
1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0104837830708246,0.0,0.0,0.0,473.32483868312806
1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0124690827507932,0.0,0.0,0.0,208.1893745904558
1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.9905139621458647,0.0,0.0,0.0,119.10950020781473
1.0,19.0,0.0,0.0,0.0,0.0,0.0,2.00442873070331,0.0,0.0,0.0,96.27829945708136
1.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0105627953604146,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.4962331957110373,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.5096690460179647,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0008854274948664,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.5700743985757188,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8782204191090524,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8515134341489909,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.8567949424981891,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.883254368115188,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.874566401580253,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0685389503637412,0.0,0.0,0.0,82.65572601701878
1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0952477153400424,0.0,0.0,0.0,157.114493966872
1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0633621811668803,0.0,0.0,0.0,317.1809040703376
1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0628315482437838,0.0,0.0,0.0,512.8395895629055
1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.063307995804167,0.0,0.0,0.0,655.852094657105
1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0757116390765047,0.0,0.0,0.0,695.4555735529927
1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0712270579772485,0.0,0.0,0.0,714.2036993227014
1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.077955332267529,0.0,0.0,0.0,710.7301250257643
1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0864669360085926,0.0,0.0,0.0,657.9357281432189
1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0722133029309608,0.0,0.0,0.0,610.0150492300551
1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.069540423310941,0.0,0.0,0.0,467.04346636587843
1.0,17.0,0.0,0.0,0.0,0.0,0.0,1.095369972229888,0.0,0.0,0.0,215.74165536499606
1.0,18.0,0.0,0.0,0.0,0.0,0.0,2.090170617651278,0.0,0.0,0.0,106.4395561968472
1.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0755257074234112,0.0,0.0,0.0,86.60772649146901
1.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0657829417953337,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.575356321232086,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.556972552434746,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0838100775828674,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.3722588467382855,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6515163227580236,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.6661084701281977,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6776973208883911,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.6475224093119578,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6924994471842412,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.865438874932711,0.0,0.0,0.0,90.25896805344752
1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.8668756155361996,0.0,0.0,0.0,158.07973812048087
1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.8560792287740338,0.0,0.0,0.0,319.57746166387557
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8713533754995872,0.0,0.0,0.0,508.84121173062704
