Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.6705670866276752,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1408379743317827,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.1558308706016818,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.1642474801915363,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.173389968080537,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.1823469029094629,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.9572175306180426,0.0,0.0,0.0,596.7591166169104
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.858008879508939,0.0,0.0,0.0,623.2697900503911
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8594179171699935,0.0,0.0,0.0,736.935344472357
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8704682317760691,0.0,0.0,0.0,864.3311405344875
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7666295278876665,0.0,0.0,0.0,939.3169139318638
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.8691273830974562,0.0,0.0,0.0,963.4256340245654
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.8569003512393081,0.0,0.0,0.0,988.0566627948871
1.0,13.0,0.0,0.0,0.0,0.0,0.0,4.163627112921131,0.0,0.0,0.0,961.9486461646906
1.0,14.0,0.0,0.0,0.0,0.0,0.0,3.167984099860498,0.0,0.0,0.0,830.0445939127369
1.0,15.0,0.0,0.0,0.0,0.0,0.0,3.1734621124226616,0.0,0.0,0.0,828.0703869296754
1.0,16.0,0.0,0.0,0.0,0.0,0.0,4.16956987976463,0.0,0.0,0.0,745.0687215902391
1.0,17.0,0.0,0.0,0.0,0.0,0.0,3.163280713838361,0.0,0.0,0.0,620.7731121292209
