Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
1.0,24.0,0.0,0.0,0.0,0.0,0.0,3.6805977924766955,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.7167071599119965,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.7067352009032026,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.7084346005078483,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.695628859987943,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.698437590748026,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,5.984313565812302,0.0,0.0,0.0,69.76551303501307
1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.991783118234007,0.0,0.0,0.0,70.01465432584651
1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.797903105054486,0.0,0.0,0.0,66.33203259458888
1.0,9.0,0.0,0.0,0.0,0.0,0.0,3.7958335332295174,0.0,0.0,0.0,123.91249804844324
1.0,10.0,0.0,0.0,0.0,0.0,0.0,3.785395934373313,0.0,0.0,0.0,218.04633689583324
1.0,11.0,0.0,0.0,0.0,0.0,0.0,3.8009415347545956,0.0,0.0,0.0,366.17984604365216
1.0,12.0,0.0,0.0,0.0,0.0,0.0,3.7964614759487723,0.0,0.0,0.0,505.1530360549002
1.0,13.0,0.0,0.0,0.0,0.0,0.0,3.794623959187475,0.0,0.0,0.0,529.8974067752306
1.0,14.0,0.0,0.0,0.0,0.0,0.0,3.8035658438274895,0.0,0.0,0.0,456.6854131303731
1.0,15.0,0.0,0.0,0.0,0.0,0.0,3.805349066916554,0.0,0.0,0.0,368.0581144527296
1.0,16.0,0.0,0.0,0.0,0.0,0.0,3.799197161627761,0.0,0.0,0.0,202.9223773024065
1.0,17.0,0.0,0.0,0.0,0.0,0.0,3.791035550593795,0.0,0.0,0.0,76.08018006053625
1.0,18.0,0.0,0.0,0.0,0.0,0.0,5.9998739347786945,0.0,0.0,0.0,68.803525932367
