Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.8999607489233901,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20512737354702562,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18834337398625328,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.19453860938513176,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.18447069145043396,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.19984210143069012,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.40186967731790296,0.0,0.0,0.0,259.13869952880174
1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.4026779888355783,0.0,0.0,0.0,336.20024350336513
1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.3932439013939808,0.0,0.0,0.0,499.6678688711893
1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.381914632462122,0.0,0.0,0.0,692.4163655786471
1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.4024513876550785,0.0,0.0,0.0,847.477229487065
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.3991544259364506,0.0,0.0,0.0,869.8731345760591
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.3772977084847447,0.0,0.0,0.0,886.0115465200084
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.39284868093668907,0.0,0.0,0.0,885.5228860441773
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.40108629559572306,0.0,0.0,0.0,840.2858111529572
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.37609129834564486,0.0,0.0,0.0,783.4782720437126
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.38451839594078224,0.0,0.0,0.0,640.1208926340689
1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3814039428165749,0.0,0.0,0.0,401.524529199464
1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.3677673118198583,0.0,0.0,0.0,296.34349083530174
1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.4021749472121838,0.0,0.0,0.0,256.6685748750272
1.0,20.0,0.0,0.0,0.0,0.0,0.0,2.410974719472256,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,1.8779867172140567,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,1.9034876808259098,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,1.3919208039928732,0.0,0.0,0.0,0.0
