Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
1.0,24.0,0.0,0.0,0.0,0.0,0.0,2.1728803969339934,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.169395495545095,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.1646179775583065,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.1688387436158605,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.144427098330675,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.1785566496233404,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.1656177746233545,0.0,0.0,0.0,240.04561695154885
1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.1628148750153993,0.0,0.0,0.0,308.8980935361913
1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.18681827117045,0.0,0.0,0.0,426.8327965530382
1.0,9.0,0.0,0.0,0.0,0.0,0.0,3.6751668635393644,0.0,0.0,0.0,579.9296406916344
1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.6780327520160325,0.0,0.0,0.0,675.8417581759713
1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.026129300821
1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.9059084668772
1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.6927492378189
1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.4603108755501
1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.651562076413
1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.6673798057548
1.0,17.0,0.0,0.0,0.0,0.0,0.0,2.1823052132564373,0.0,0.0,0.0,576.4420737848912
1.0,18.0,0.0,0.0,0.0,0.0,0.0,3.177269636973014,0.0,0.0,0.0,403.6317900741362
1.0,19.0,0.0,0.0,0.0,0.0,0.0,3.1884969877438825,0.0,0.0,0.0,276.8818536440825
1.0,20.0,0.0,0.0,0.0,0.0,0.0,2.182460736722126,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,2.200556734387791,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.17059699059585,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,2.1749687814784853,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,2.1829884358549756,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1999603706516346,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.1861020050780136,0.0,0.0,0.0,0.0
1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.187266510174919,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.19008224150024,0.0,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.168978544988517,0.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.186933142304341,0.0,0.0,0.0,231.21003043098798
1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.18110601154884,0.0,0.0,0.0,318.77921772239455
1.0,8.0,0.0,0.0,0.0,0.0,0.0,3.1825303616664593,0.0,0.0,0.0,428.31005055249835
